genotype,genotype_code,location,depth,cohort,origin,date_cloned,date_planted,date_planted_sp,weight,width,nodes,initial_frame,position,site_frame,co2,comp,salinity,flood_level,notes
cm4,C2AT-9,corn,0,corn_modern,utk,6/19/19,6/25/19,6/13/19,0.472,1.27,2,7,1,fresh_1,ambient,1,fresh,1,
ka5,156,kirkpatrick,20,kirk_ancestral,nd,6/19/19,6/25/19,NA,0.611,1.77,2,7,2,fresh_1,ambient,0,fresh,1,
b3,235,blackwater,8,blackwater,nd,6/9/19,6/13/19,NA,0.618,2.46,1,7,3,fresh_1,ambient,0,fresh,1,
cm3,C4AS-7,corn,0,corn_modern,utk,5/27/19,6/13/19,NA,0.153,1.07,1,7,4,fresh_1,ambient,0,fresh,1,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/27/19,6/13/19,NA,0.437,1.24,1,7,5,fresh_1,ambient,0,fresh,1,
cm1,C4AS-8,corn,0,corn_modern,utk,5/27/19,6/13/19,NA,0.656,1.33,1,7,6,fresh_1,ambient,0,fresh,1,
km5,159,kirkpatrick,extant,kirk_modern,nd,6/9/19,6/13/19,NA,1.069,1.81,1,7,7,fresh_1,ambient,0,fresh,1,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/27/19,6/13/19,6/13/19,0.842,1.85,1,7,8,fresh_1,ambient,1,fresh,1,
cm6,C4AS-5,corn,0,corn_modern,utk,5/27/19,6/13/19,6/13/19,0.582,1.37,1,7,1,fresh_1,ambient,1,fresh,2,
cm10,139,corn,0,corn_modern,nd,5/27/19,6/13/19,NA,0.942,2.64,1,7,2,fresh_1,ambient,0,fresh,2,
cm2,C4AS-4,corn,0,corn_modern,utk,5/27/19,6/13/19,NA,0.978,1.98,1,7,3,fresh_1,ambient,0,fresh,2,
ca4,cm4,corn,20.75,corn_ancestral,utk,5/27/19,6/13/19,6/13/19,0.456,1.69,1,7,4,fresh_1,ambient,1,fresh,2,
ca8,130,corn,15,corn_ancestral,nd,5/27/19,6/13/19,6/25/19,0.934,4.27,1,7,5,fresh_1,ambient,1,fresh,2,
km6,141,kirkpatrick,0,kirk_modern,nd,6/9/19,6/13/19,NA,1.278,1.52,1,7,6,fresh_1,ambient,0,fresh,2,
ka4,153,kirkpatrick,20,kirk_ancestral,nd,5/27/19,6/13/19,NA,0.709,2.09,2,7,7,fresh_1,ambient,0,fresh,2,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,6/10/19,6/13/19,NA,2.133,1.76,1,7,8,fresh_1,ambient,0,fresh,2,
cm7,C4AS-13,corn,0,corn_modern,utk,5/27/19,6/13/19,NA,0.909,0.94,1,7,1,fresh_1,ambient,0,fresh,3,
ca8,130,corn,15,corn_ancestral,nd,5/27/19,6/13/19,6/13/19,0.831,1.79,1,7,2,fresh_1,ambient,1,fresh,3,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,6/9/19,6/13/19,NA,2.181,2.51,2,7,3,fresh_1,ambient,0,fresh,3,
cm5,C4AS-2,corn,0,corn_modern,utk,6/9/19,6/13/19,NA,0.545,1.19,1,7,4,fresh_1,ambient,0,fresh,3,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,6/19/19,6/25/19,NA,1.025,1.67,1,7,5,fresh_1,ambient,0,fresh,3,
cm1,C4AS-8,corn,0,corn_modern,utk,6/9/19,6/13/19,6/25/19,1.532,2,1,7,6,fresh_1,ambient,1,fresh,3,
km2,KM1B1Q-5,kirkpatrick,0,kirk_modern,utk,5/27/19,6/13/19,NA,0.77,1.48,1,7,7,fresh_1,ambient,0,fresh,3,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,5/27/19,6/13/19,6/13/19,0.413,1.32,1,7,8,fresh_1,ambient,1,fresh,3,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/25/19,6/14/19,1.048,2.23,2,7,1,fresh_1,ambient,1,fresh,4,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/27/19,6/14/19,NA,0.88,1.88,1,7,2,fresh_1,ambient,0,fresh,4,
km1,KM1B1Q-3,kirkpatrick,0,kirk_modern,utk,5/27/19,6/14/19,NA,2.347,1.88,1,7,3,fresh_1,ambient,0,fresh,4,
cm8,127,corn,0,corn_modern,nd,6/9/19,6/14/19,6/14/19,1.45,1.39,1,7,4,fresh_1,ambient,1,fresh,4,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/27/19,6/14/19,6/14/19,1.361,0.75,1,7,5,fresh_1,ambient,1,fresh,4,
cm4,C2AT-9,corn,0,corn_modern,utk,5/27/19,6/14/19,NA,0.2,1.44,1,7,6,fresh_1,ambient,0,fresh,4,
cm3,C4AS-7,corn,0,corn_modern,utk,5/27/19,6/14/19,NA,1.507,1.92,1,7,7,fresh_1,ambient,0,fresh,4,
b2,191,blackwater,10,blackwater,nd,5/27/19,6/14/19,NA,0.375,2.33,1,7,8,fresh_1,ambient,0,fresh,4,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,6/9/19,6/14/19,6/14/19,1.395,1.48,1,7,1,fresh_1,ambient,1,fresh,5,
cm7,C4AS-13,corn,0,corn_modern,utk,5/27/19,6/14/19,6/14/19,0.347,1.11,1,7,2,fresh_1,ambient,1,fresh,5,
ca9,133,corn,14.25,corn_ancestral,nd,6/9/19,6/14/19,NA,1.039,1.9,1,7,3,fresh_1,ambient,0,fresh,5,
ka2,146,kirkpatrick,14,kirk_ancestral,nd,5/27/19,6/14/19,NA,2.404,1.84,1,7,4,fresh_1,ambient,0,fresh,5,
cm9,128,corn,0,corn_modern,nd,5/27/19,6/14/19,6/14/19,1.095,4.12,1,7,5,fresh_1,ambient,1,fresh,5,
km5,159,kirkpatrick,extant,kirk_modern,nd,6/19/19,6/25/19,NA,1.534,3.49,2,7,6,fresh_1,ambient,0,fresh,5,
ca10,138,corn,16.75,corn_ancestral,nd,5/27/19,6/14/19,NA,0.401,1.89,1,7,7,fresh_1,ambient,0,fresh,5,
cm6,C4AS-5,corn,0,corn_modern,utk,6/9/19,6/14/19,NA,2.505,1.9,1,7,8,fresh_1,ambient,0,fresh,5,
b4,217,blackwater,10,blackwater,nd,5/27/19,6/14/19,NA,0.709,1.89,2,7,1,fresh_1,ambient,0,fresh,6,
km3,KM1B1Q-1,kirkpatrick,0,kirk_modern,utk,5/27/19,6/14/19,NA,0.324,1.87,1,7,2,fresh_1,ambient,0,fresh,6,
ka1,Flat 3 D2 MD1 18-20,kirkpatrick,18,kirk_ancestral,utk,5/27/19,6/14/19,NA,1.026,1.17,1,7,3,fresh_1,ambient,0,fresh,6,"
"
cm10,139,corn,0,corn_modern,nd,5/27/19,6/14/19,6/14/19,1.196,4.12,1,7,4,fresh_1,ambient,1,fresh,6,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,6/9/19,6/14/19,NA,2.28,1.11,1,7,5,fresh_1,ambient,0,fresh,6,
ca10,138,corn,16.75,corn_ancestral,nd,6/9/19,6/14/19,6/14/19,2.174,1.74,2,7,6,fresh_1,ambient,1,fresh,6,
cm2,C4AS-4,corn,0,corn_modern,utk,5/27/19,6/14/19,NA,0.75,1.52,1,7,7,fresh_1,ambient,0,fresh,6,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,5/27/19,6/14/19,6/14/19,0.495,0.89,1,7,8,fresh_1,ambient,1,fresh,6,
cm1,C4AS-8,corn,0,corn_modern,utk,5/28/19,6/13/19,6/13/19,0.188,1.04,1,13,1,fresh_2,elevated,1,fresh,1,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/28/19,6/13/19,6/13/19,0.859,2.08,1,13,2,fresh_2,elevated,1,fresh,1,
km2,KM1B1Q-5,kirkpatrick,0,kirk_modern,utk,6/9/19,6/13/19,NA,2.045,3.97,1,13,3,fresh_2,elevated,0,fresh,1,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/28/19,6/13/19,NA,0.574,0.98,1,13,4,fresh_2,elevated,0,fresh,1,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,5/28/19,6/13/19,NA,0.13,1.2,1,13,5,fresh_2,elevated,0,fresh,1,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/28/19,6/13/19,NA,0.594,2.07,1,13,6,fresh_2,elevated,0,fresh,1,
cm7,C4AS-13,corn,0,corn_modern,utk,5/28/19,6/13/19,6/13/19,0.443,1.02,1,13,7,fresh_2,elevated,1,fresh,1,
cm6,C4AS-5,corn,0,corn_modern,utk,6/9/19,6/13/19,NA,2.575,1.96,1,13,8,fresh_2,elevated,0,fresh,1,
cm7,C4AS-13,corn,0,corn_modern,utk,5/28/19,6/13/19,NA,0.309,1.87,2,13,1,fresh_2,elevated,0,fresh,2,
cm8,127,corn,0,corn_modern,nd,5/28/19,6/13/19,6/13/19,0.654,2.88,1,13,2,fresh_2,elevated,1,fresh,2,
ka4,153,kirkpatrick,20,kirk_ancestral,nd,6/9/19,6/13/19,NA,1.151,1.57,2,13,3,fresh_2,elevated,0,fresh,2,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/28/19,6/13/19,6/13/19,0.909,1.31,1,13,4,fresh_2,elevated,1,fresh,2,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/28/19,6/13/19,6/13/19,0.805,2.25,1,13,5,fresh_2,elevated,1,fresh,2,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,6/9/19,6/13/19,NA,1.567,1.54,1,13,6,fresh_2,elevated,0,fresh,2,
cm10,139,corn,0,corn_modern,nd,6/19/19,6/25/19,NA,0.992,2.36,2,13,7,fresh_2,elevated,0,fresh,2,
km3,KM1B1Q-1,kirkpatrick,0,kirk_modern,utk,5/28/19,6/13/19,NA,0.676,1.49,1,13,8,fresh_2,elevated,0,fresh,2,
b2,191,blackwater,10,blackwater,nd,6/19/19,6/25/19,NA,0.756,2.33,2,13,1,fresh_2,elevated,0,fresh,3,
km5,159,kirkpatrick,extant,kirk_modern,nd,5/28/19,6/14/19,NA,0.975,3.21,1,13,2,fresh_2,elevated,0,fresh,3,
ca8,130,corn,15,corn_ancestral,nd,6/9/19,6/14/19,NA,1.344,2.75,2,13,3,fresh_2,elevated,0,fresh,3,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,5/28/19,6/14/19,NA,0.624,2.53,1,13,4,fresh_2,elevated,0,fresh,3,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/28/19,6/14/19,6/14/19,0.718,1.52,1,13,5,fresh_2,elevated,1,fresh,3,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,5/28/19,6/14/19,NA,1.063,1.86,2,13,6,fresh_2,elevated,0,fresh,3,
cm2,C4AS-4,corn,0,corn_modern,utk,6/9/19,6/14/19,6/14/19,0.603,0.96,1,13,7,fresh_2,elevated,1,fresh,3,
cm4,C2AT-9,corn,0,corn_modern,utk,5/28/19,6/14/19,NA,0.56,1.4,2,13,8,fresh_2,elevated,0,fresh,3,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,6/9/19,6/14/19,NA,1.319,1.81,1,13,1,fresh_2,elevated,0,fresh,4,
ka3,14-16D,kirkpatrick,14,kirk_ancestral,utk,6/9/19,6/14/19,NA,3.726,1.9,1,13,2,fresh_2,elevated,0,fresh,4,UTK
cm10,139,corn,0,corn_modern,nd,5/28/19,6/14/19,NA,1.213,4.12,1,13,3,fresh_2,elevated,0,fresh,4,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,6/9/19,6/14/19,6/14/19,2.803,1.12,1,13,4,fresh_2,elevated,1,fresh,4,
km4,155,kirkpatrick,extant,kirk_modern,nd,6/9/19,6/14/19,NA,0.832,2.06,3,13,5,fresh_2,elevated,0,fresh,4,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,6/19/19,6/25/19,6/14/19,1.273,1.86,1,13,6,fresh_2,elevated,1,fresh,4,
cm4,C2AT-9,corn,0,corn_modern,utk,6/19/19,6/25/19,6/14/19,0.707,1.75,2,13,7,fresh_2,elevated,1,fresh,4,
cm2,C4AS-4,corn,0,corn_modern,utk,5/28/19,6/14/19,NA,0.188,0.98,2,13,8,fresh_2,elevated,0,fresh,4,
km4,155,kirkpatrick,extant,kirk_modern,nd,6/9/19,6/14/19,NA,2.624,3.06,1,13,1,fresh_2,elevated,0,fresh,5,
ca9,133,corn,14.25,corn_ancestral,nd,6/9/19,6/14/19,6/14/19,1.861,1.69,1,13,2,fresh_2,elevated,1,fresh,5,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/28/19,6/14/19,NA,0.417,2.04,1,13,3,fresh_2,elevated,0,fresh,5,
ca10,138,corn,16.75,corn_ancestral,nd,5/28/19,6/14/19,NA,0.633,3.35,2,13,4,fresh_2,elevated,0,fresh,5,
cm10,139,corn,0,corn_modern,nd,6/19/19,6/25/19,NA,1.789,3.44,1,13,5,fresh_2,elevated,0,fresh,5,
cm3,C4AS-7,corn,0,corn_modern,utk,6/9/19,6/14/19,6/14/19,0.531,1.39,1,13,6,fresh_2,elevated,1,fresh,5,
b1,219,blackwater,2,blackwater,nd,5/28/19,6/14/19,NA,1.147,3.09,1,13,7,fresh_2,elevated,0,fresh,5,
cm6,C4AS-5,corn,0,corn_modern,utk,5/28/19,6/14/19,6/14/19,0.781,1.21,1,13,8,fresh_2,elevated,1,fresh,5,
ca8,130,corn,15,corn_ancestral,nd,5/28/19,6/14/19,6/14/19,0.977,5.13,1,13,1,fresh_2,elevated,1,fresh,6,
b2,191,blackwater,10,blackwater,nd,6/19/19,6/25/19,NA,0.558,2.21,1,13,2,fresh_2,elevated,0,fresh,6,
cm10,139,corn,0,corn_modern,nd,6/19/19,6/25/19,6/14/19,1.341,3.65,1,13,3,fresh_2,elevated,1,fresh,6,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,6/9/19,6/14/19,NA,1.76,1.56,1,13,4,fresh_2,elevated,0,fresh,6,
cm9,128,corn,0,corn_modern,nd,6/9/19,6/14/19,NA,3.608,2.17,1,13,5,fresh_2,elevated,0,fresh,6,
ka2,14-16E,kirkpatrick,14,kirk_ancestral,utk,6/9/19,6/14/19,NA,0.984,1.71,1,13,6,fresh_2,elevated,0,fresh,6,UTK
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/28/19,6/14/19,6/14/19,1.325,1.88,1,13,7,fresh_2,elevated,1,fresh,6,
cm4,C2AT-9,corn,0,corn_modern,utk,5/28/19,6/14/19,NA,2.469,1.86,1,13,8,fresh_2,elevated,0,fresh,6,
km4,155,kirkpatrick,extant,kirk_modern,nd,5/22/19,6/13/19,NA,1.136,3.25,1,1,1,fresh_3,ambient,0,fresh,1,
cm8,127,corn,0,corn_modern,nd,5/22/19,6/13/19,NA,0.667,2.29,2,1,2,fresh_3,ambient,0,fresh,1,
cm7,C4AS-13,corn,0,corn_modern,utk,5/22/19,6/13/19,NA,0.968,1.55,1,1,3,fresh_3,ambient,0,fresh,1,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,6/9/19,6/13/19,6/13/19,2.91,2,1,1,4,fresh_3,ambient,1,fresh,1,
cm4,C2AT-9,corn,0,corn_modern,utk,6/19/19,6/25/19,6/13/19,0.501,1.58,1,1,5,fresh_3,ambient,1,fresh,1,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,5/22/19,6/13/19,NA,0.921,1.97,1,1,6,fresh_3,ambient,0,fresh,1,
ka3,143,kirkpatrick,14,kirk_ancestral,nd,6/10/19,6/13/19,NA,0.574,1.16,1,1,7,fresh_3,ambient,0,fresh,1,ND
ca8,130,corn,15,corn_ancestral,nd,5/22/19,6/13/19,6/13/19,0.353,2.66,1,1,8,fresh_3,ambient,1,fresh,1,
ka1,Flat 3 D2 MD1 18-20,kirkpatrick,18,kirk_ancestral,utk,5/22/19,6/13/19,NA,0.617,0.98,1,1,1,fresh_3,ambient,0,fresh,2,
cm7,C4AS-13,corn,0,corn_modern,utk,5/22/19,6/13/19,6/13/19,0.721,1.61,1,1,2,fresh_3,ambient,1,fresh,2,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/22/19,6/13/19,NA,0.993,1.35,2,1,3,fresh_3,ambient,0,fresh,2,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/25/19,NA,1.721,2.31,2,1,4,fresh_3,ambient,0,fresh,2,
cm10,139,corn,0,corn_modern,nd,6/19/19,6/25/19,6/13/19,1.218,2.45,1,1,5,fresh_3,ambient,1,fresh,2,
km1,KM1B1Q-3,kirkpatrick,0,kirk_modern,utk,5/22/19,6/13/19,NA,0.618,1.61,2,1,6,fresh_3,ambient,0,fresh,2,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/22/19,6/13/19,6/13/19,0.782,2.87,2,1,7,fresh_3,ambient,1,fresh,2,
cm4,C2AT-9,corn,0,corn_modern,utk,5/22/19,6/13/19,NA,1.155,1.98,1,1,8,fresh_3,ambient,0,fresh,2,
km5,159,kirkpatrick,extant,kirk_modern,nd,6/19/19,6/25/19,NA,1.271,2.89,1,1,1,fresh_3,ambient,0,fresh,3,
cm4,C2AT-9,corn,0,corn_modern,utk,5/22/19,6/14/19,6/14/19,0.842,1.33,2,1,2,fresh_3,ambient,1,fresh,3,
cm2,C4AS-4,corn,0,corn_modern,utk,5/22/19,6/14/19,NA,1.097,1.88,2,1,3,fresh_3,ambient,0,fresh,3,
cm9,128,corn,0,corn_modern,nd,5/22/19,6/14/19,NA,0.904,2.48,2,1,4,fresh_3,ambient,0,fresh,3,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,5/22/19,6/14/19,NA,1.473,2.13,1,1,5,fresh_3,ambient,0,fresh,3,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,6/9/19,6/14/19,6/14/19,2.682,1.61,1,1,6,fresh_3,ambient,1,fresh,3,
ca9,133,corn,14.25,corn_ancestral,nd,6/9/19,6/14/19,6/14/19,1.28,2.3,1,1,7,fresh_3,ambient,1,fresh,3,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/22/19,6/14/19,NA,1.386,2,1,1,8,fresh_3,ambient,0,fresh,3,
cm1,C4AS-8,corn,0,corn_modern,utk,6/9/19,6/14/19,NA,1.145,1.48,1,1,1,fresh_3,ambient,0,fresh,4,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/22/19,6/14/19,6/14/19,1.495,1.86,1,1,2,fresh_3,ambient,1,fresh,4,
cm10,139,corn,0,corn_modern,nd,5/22/19,6/14/19,6/14/19,0.982,2.82,2,1,3,fresh_3,ambient,1,fresh,4,
ca10,138,corn,16.75,corn_ancestral,nd,5/22/19,6/14/19,NA,1.047,2.38,1,1,4,fresh_3,ambient,0,fresh,4,
ka2,14-16E,kirkpatrick,14,kirk_ancestral,utk,5/22/19,6/14/19,NA,0.668,1.59,1,1,5,fresh_3,ambient,0,fresh,4,
cm9,128,corn,0,corn_modern,nd,6/9/19,6/14/19,NA,2.211,4.01,2,1,6,fresh_3,ambient,0,fresh,4,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/22/19,6/14/19,NA,0.166,1.61,1,1,7,fresh_3,ambient,0,fresh,4,
b2,191,blackwater,10,blackwater,nd,5/22/19,6/14/19,NA,0.707,2.69,1,1,8,fresh_3,ambient,0,fresh,4,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,5/22/19,6/14/19,NA,1.131,0.92,2,1,1,fresh_3,ambient,0,fresh,5,
cm10,139,corn,0,corn_modern,nd,5/22/19,6/14/19,NA,0.74,2.09,2,1,2,fresh_3,ambient,0,fresh,5,
cm2,C4AS-4,corn,0,corn_modern,utk,5/22/19,6/14/19,6/14/19,2.141,1.78,2,1,3,fresh_3,ambient,1,fresh,5,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,5/22/19,6/14/19,6/14/19,0.475,1.6,1,1,4,fresh_3,ambient,1,fresh,5,
b4,217,blackwater,10,blackwater,nd,5/22/19,6/14/19,NA,0.722,2.14,1,1,5,fresh_3,ambient,0,fresh,5,
km3,KM1B1Q-1,kirkpatrick,0,kirk_modern,utk,5/22/19,6/14/19,NA,0.747,1.23,1,1,6,fresh_3,ambient,0,fresh,5,
ka5,156,kirkpatrick,20,kirk_ancestral,nd,5/22/19,6/14/19,NA,0.914,2.04,1,1,7,fresh_3,ambient,0,fresh,5,
cm8,127,corn,0,corn_modern,nd,5/22/19,6/14/19,6/14/19,0.826,2.32,2,1,8,fresh_3,ambient,1,fresh,5,
cm9,128,corn,0,corn_modern,nd,5/22/19,6/14/19,6/14/19,0.544,2.52,2,1,1,fresh_3,ambient,1,fresh,6,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/22/19,6/14/19,NA,2.019,1.76,1,1,2,fresh_3,ambient,0,fresh,6,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/22/19,6/14/19,6/14/19,1.022,2.15,1,1,3,fresh_3,ambient,1,fresh,6,
b3,235,blackwater,8,blackwater,nd,5/22/19,6/14/19,NA,0.468,2.18,3,1,4,fresh_3,ambient,0,fresh,6,
km2,KM1B1Q-5,kirkpatrick,0,kirk_modern,utk,5/22/19,6/14/19,NA,0.592,1.36,1,1,5,fresh_3,ambient,0,fresh,6,
cm1,C4AS-8,corn,0,corn_modern,utk,5/22/19,6/14/19,6/14/19,0.771,1.3,1,1,6,fresh_3,ambient,1,fresh,6,
cm4,C2AT-9,corn,0,corn_modern,utk,6/19/19,6/25/19,NA,0.179,1.37,2,1,7,fresh_3,ambient,0,fresh,6,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/25/19,NA,1.261,2.4,1,1,8,fresh_3,ambient,0,fresh,6,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,6/19/19,6/25/19,NA,0.738,1.52,1,5,1,fresh_4,ambient,0,fresh,1,
km6,141,kirkpatrick,0,kirk_modern,nd,5/22/19,6/13/19,NA,2.074,4.44,2,5,2,fresh_4,ambient,0,fresh,1,
b1,219,blackwater,2,blackwater,nd,5/22/19,6/13/19,NA,0.936,2.28,1,5,3,fresh_4,ambient,0,fresh,1,
ca9,133,corn,14.25,corn_ancestral,nd,6/9/19,6/13/19,6/13/19,0.999,2.35,1,5,4,fresh_4,ambient,1,fresh,1,
cm2,C4AS-4,corn,0,corn_modern,utk,6/9/19,6/13/19,NA,1.508,1.61,1,5,5,fresh_4,ambient,0,fresh,1,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,6/10/19,6/13/19,NA,1.673,1.93,1,5,6,fresh_4,ambient,0,fresh,1,
ca10,138,corn,16.75,corn_ancestral,nd,6/9/19,6/13/19,6/13/19,1.034,2.23,1,5,7,fresh_4,ambient,1,fresh,1,
cm10,139,corn,0,corn_modern,nd,6/19/19,6/25/19,6/13/19,0.999,2.64,1,5,8,fresh_4,ambient,1,fresh,1,
cm9,128,corn,0,corn_modern,nd,5/22/19,6/14/19,6/14/19,1.193,3.42,1,5,1,fresh_4,ambient,1,fresh,2,
cm7,C4AS-13,corn,0,corn_modern,utk,5/22/19,6/14/19,NA,1.503,1.18,1,5,2,fresh_4,ambient,0,fresh,2,
km5,159,kirkpatrick,extant,kirk_modern,nd,6/9/19,6/14/19,NA,1.078,1.3,1,5,3,fresh_4,ambient,0,fresh,2,
b2,191,blackwater,10,blackwater,nd,5/22/19,6/14/19,NA,1.132,2.14,1,5,4,fresh_4,ambient,0,fresh,2,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/22/19,6/14/19,NA,0.877,1.78,1,5,5,fresh_4,ambient,0,fresh,2,
ca8,130,corn,15,corn_ancestral,nd,6/9/19,6/14/19,NA,2.248,3.04,1,5,6,fresh_4,ambient,0,fresh,2,
ca10,138,corn,16.75,corn_ancestral,nd,5/22/19,6/14/19,6/14/19,0.418,1.55,1,5,7,fresh_4,ambient,1,fresh,2,
cm1,C4AS-8,corn,0,corn_modern,utk,5/22/19,6/14/19,6/14/19,0.367,1.84,1,5,8,fresh_4,ambient,1,fresh,2,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,5/22/19,6/14/19,NA,0.554,2.59,1,5,1,fresh_4,ambient,0,fresh,3,
ca10,138,corn,16.75,corn_ancestral,nd,5/22/19,6/14/19,6/14/19,0.792,1.95,1,5,2,fresh_4,ambient,1,fresh,3,
b4,217,blackwater,10,blackwater,nd,5/22/19,6/14/19,NA,0.919,1.97,1,5,3,fresh_4,ambient,0,fresh,3,
cm1,C4AS-8,corn,0,corn_modern,utk,6/9/19,6/14/19,NA,0.983,2.34,1,5,4,fresh_4,ambient,0,fresh,3,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,5/22/19,6/14/19,NA,1.16,1.04,1,5,5,fresh_4,ambient,0,fresh,3,
