genotype,genotype_code,location,depth,cohort,origin,date_cloned,date_planted,date_planted_sp,weight,width,nodes,initial_frame,position,site_frame,co2,comp,salinity,flood_level,notes
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/26/19,NA,0.749,1.73,1,12,5,gcrew_4,elevated,0,salt,3,
cm8,127,corn,0,corn_modern,nd,5/28/19,6/12/19,NA,0.752,2.29,1,12,6,gcrew_4,elevated,0,salt,3,
cm2,C4AS-4,corn,0,corn_modern,utk,5/28/19,6/12/19,6/12/19,0.274,1.33,1,12,7,gcrew_4,elevated,1,salt,3,
cm9,128,corn,0,corn_modern,nd,5/28/19,6/12/19,6/12/19,0.724,3.78,1,12,8,gcrew_4,elevated,1,salt,3,
km1,KM1B1Q-3,kirkpatrick,0,kirk_modern,utk,5/28/19,6/12/19,NA,0.955,1.52,1,12,1,gcrew_4,elevated,0,salt,4,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/28/19,6/12/19,NA,0.415,1.94,1,12,2,gcrew_4,elevated,0,salt,4,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,5/28/19,6/12/19,6/12/19,1.163,1.29,1,12,3,gcrew_4,elevated,1,salt,4,
b2,191,blackwater,10,blackwater,nd,5/28/19,6/12/19,NA,1.445,3.48,2,12,4,gcrew_4,elevated,0,salt,4,
cm10,139,corn,0,corn_modern,nd,5/28/19,6/12/19,NA,0.804,1.83,1,12,5,gcrew_4,elevated,0,salt,4,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,5/28/19,6/12/19,6/12/19,1.188,2.19,1,12,6,gcrew_4,elevated,1,salt,4,
cm2,C4AS-4,corn,0,corn_modern,utk,5/28/19,6/12/19,NA,1.079,1.74,1,12,7,gcrew_4,elevated,0,salt,4,
cm5,C4AS-2,corn,0,corn_modern,utk,5/28/19,6/12/19,6/17/19,0.961,1.56,2,12,8,gcrew_4,elevated,1,salt,4,
cm6,C4AS-5,corn,0,corn_modern,utk,5/28/19,6/17/19,NA,1.967,1.86,1,12,1,gcrew_4,elevated,0,salt,5,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,6/9/19,6/17/19,NA,1.169,1.52,2,12,2,gcrew_4,elevated,0,salt,5,
cm1,C4AS-8,corn,0,corn_modern,utk,5/28/19,6/17/19,6/17/19,0.722,1.86,1,12,3,gcrew_4,elevated,1,salt,5,
km2,KM1B1Q-5,kirkpatrick,0,kirk_modern,utk,6/9/19,6/17/19,NA,3.327,1.93,1,12,4,gcrew_4,elevated,0,salt,5,
ca9,133,corn,14.25,corn_ancestral,nd,6/9/19,6/17/19,NA,1.675,3.45,1,12,5,gcrew_4,elevated,0,salt,5,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,6/9/19,6/17/19,6/17/19,0.845,1.46,1,12,6,gcrew_4,elevated,1,salt,5,
ka5,156,kirkpatrick,20,kirk_ancestral,nd,6/19/19,6/26/19,NA,0.859,2.35,1,12,7,gcrew_4,elevated,0,salt,5,
cm9,128,corn,0,corn_modern,nd,6/9/19,6/17/19,6/17/19,2.694,2.63,1,12,8,gcrew_4,elevated,1,salt,5,
b2,191,blackwater,10,blackwater,nd,6/19/19,6/26/19,NA,0.389,1.6,1,12,1,gcrew_4,elevated,0,salt,6,
cm7,C4AS-13,corn,0,corn_modern,utk,6/9/19,6/17/19,6/17/19,0.903,1.83,1,12,2,gcrew_4,elevated,1,salt,6,
cm10,139,corn,0,corn_modern,nd,5/28/19,6/17/19,NA,0.805,1.82,2,12,3,gcrew_4,elevated,0,salt,6,
cm4,C2AT-9,corn,0,corn_modern,utk,5/28/19,6/17/19,NA,0.977,1.58,1,12,4,gcrew_4,elevated,0,salt,6,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/26/19,6/17/19,0.636,3.85,1,12,5,gcrew_4,elevated,1,salt,6,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/28/19,6/17/19,NA,0.882,1.83,2,12,6,gcrew_4,elevated,0,salt,6,
ca10,138,corn,16.75,corn_ancestral,nd,5/28/19,6/17/19,6/17/19,0.813,2.05,1,12,7,gcrew_4,elevated,1,salt,6,
ka3,143,kirkpatrick,14,kirk_ancestral,nd,6/9/19,6/17/19,NA,1.424,2.11,1,12,8,gcrew_4,elevated,0,salt,6,ND
cm8,127,corn,0,corn_modern,nd,5/28/19,6/12/19,NA,0.305,1.88,1,14,1,gcrew_5,elevated,0,salt,1,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,NA,0.948,1.69,1,14,2,gcrew_5,elevated,0,salt,1,
km6,141,kirkpatrick,0,kirk_modern,nd,5/28/19,6/12/19,NA,1.18,1.9,1,14,3,gcrew_5,elevated,0,salt,1,
cm10,139,corn,0,corn_modern,nd,5/28/19,6/12/19,NA,0.983,2.45,1,14,4,gcrew_5,elevated,0,salt,1,
cm6,C4AS-5,corn,0,corn_modern,utk,5/28/19,6/12/19,6/12/19,0.56,0.8,1,14,5,gcrew_5,elevated,1,salt,1,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/28/19,6/12/19,6/12/19,1.957,1.88,3,14,6,gcrew_5,elevated,1,salt,1,
ka5,156,kirkpatrick,20,kirk_ancestral,nd,5/28/19,6/12/19,NA,1.016,2.65,2,14,7,gcrew_5,elevated,0,salt,1,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,6/19/19,6/26/19,6/12/19,0.758,0.88,1,14,8,gcrew_5,elevated,1,salt,1,
ca10,138,corn,16.75,corn_ancestral,nd,5/28/19,6/12/19,NA,1.126,3.14,1,14,1,gcrew_5,elevated,0,salt,2,
km5,159,kirkpatrick,extant,kirk_modern,nd,6/9/19,6/12/19,NA,2.187,2.52,1,14,2,gcrew_5,elevated,0,salt,2,
cm7,C4AS-13,corn,0,corn_modern,utk,5/28/19,6/12/19,NA,0.211,1.22,1,14,3,gcrew_5,elevated,0,salt,2,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,NA,0.521,1.53,2,14,4,gcrew_5,elevated,0,salt,2,
cm8,127,corn,0,corn_modern,nd,6/9/19,6/12/19,6/26/19,2.313,2.36,2,14,5,gcrew_5,elevated,1,salt,2,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,6/10/19,6/12/19,NA,1.751,1.76,1,14,6,gcrew_5,elevated,0,salt,2,
ca8,130,corn,15,corn_ancestral,nd,5/28/19,6/12/19,6/12/19,1.323,2.92,2,14,7,gcrew_5,elevated,1,salt,2,
cm4,C2AT-9,corn,0,corn_modern,utk,5/28/19,6/12/19,6/12/19,0.471,1.6,1,14,8,gcrew_5,elevated,1,salt,2,
km6,141,kirkpatrick,0,kirk_modern,nd,6/9/19,6/12/19,NA,1.545,1.94,1,14,1,gcrew_5,elevated,0,salt,3,
b2,191,blackwater,10,blackwater,nd,5/28/19,6/12/19,NA,0.31,2.36,1,14,2,gcrew_5,elevated,0,salt,3,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,6/12/19,1.09,2.17,2,14,3,gcrew_5,elevated,1,salt,3,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,6/19/19,6/26/19,NA,0.473,1.99,2,14,4,gcrew_5,elevated,0,salt,3,
cm4,C2AT-9,corn,0,corn_modern,utk,5/28/19,6/12/19,NA,1.964,2.37,2,14,5,gcrew_5,elevated,0,salt,3,
cm4,C2AT-9,corn,0,corn_modern,utk,6/19/19,6/26/19,6/12/19,0.449,1.15,2,14,6,gcrew_5,elevated,1,salt,3,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,5/28/19,6/12/19,NA,1.723,1.94,1,14,7,gcrew_5,elevated,0,salt,3,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,5/28/19,6/12/19,6/12/19,2.078,2.18,1,14,8,gcrew_5,elevated,1,salt,3,
cm1,C4AS-8,corn,0,corn_modern,utk,5/28/19,6/12/19,NA,0.657,1.07,1,14,1,gcrew_5,elevated,0,salt,4,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,6/12/19,0.699,1.51,2,14,2,gcrew_5,elevated,1,salt,4,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/26/19,NA,1.014,1.85,1,14,3,gcrew_5,elevated,0,salt,4,
ka2,146,kirkpatrick,14,kirk_ancestral,nd,5/28/19,6/12/19,NA,2.013,1.87,1,14,4,gcrew_5,elevated,0,salt,4,ND
km3,KM1B1Q-1,kirkpatrick,0,kirk_modern,utk,6/19/19,6/26/19,NA,1.366,0.7,1,14,5,gcrew_5,elevated,0,salt,4,
cm10,139,corn,0,corn_modern,nd,6/19/19,6/26/19,6/12/19,0.461,2.75,2,14,6,gcrew_5,elevated,1,salt,4,
cm7,C4AS-13,corn,0,corn_modern,utk,6/10/19,6/12/19,NA,0.882,1.54,2,14,7,gcrew_5,elevated,0,salt,4,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,NA,1.386,1.25,1,14,8,gcrew_5,elevated,0,salt,4,
km3,KM1B1Q-1,kirkpatrick,0,kirk_modern,utk,6/9/19,6/17/19,NA,2.448,1.96,1,14,1,gcrew_5,elevated,0,salt,5,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,6/9/19,6/17/19,NA,1.148,1.28,1,14,2,gcrew_5,elevated,0,salt,5,
cm3,C4AS-7,corn,0,corn_modern,utk,5/28/19,6/17/19,NA,0.979,1.7,1,14,3,gcrew_5,elevated,0,salt,5,
cm4,C2AT-9,corn,0,corn_modern,utk,6/19/19,6/26/19,6/17/19,0.767,1.93,1,14,4,gcrew_5,elevated,1,salt,5,
cm10,139,corn,0,corn_modern,nd,5/28/19,6/17/19,NA,0.692,1.64,1,14,5,gcrew_5,elevated,0,salt,5,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/28/19,6/17/19,6/17/19,0.412,2.45,1,14,6,gcrew_5,elevated,1,salt,5,
ca10,138,corn,16.75,corn_ancestral,nd,5/28/19,6/17/19,6/17/19,1.039,3.2,1,14,7,gcrew_5,elevated,1,salt,5,
b3,235,blackwater,8,blackwater,nd,5/28/19,6/17/19,NA,0.678,2.68,1,14,8,gcrew_5,elevated,0,salt,5,
cm6,C4AS-5,corn,0,corn_modern,utk,5/28/19,6/17/19,NA,0.522,1.14,1,14,1,gcrew_5,elevated,0,salt,6,
ka4,153,kirkpatrick,20,kirk_ancestral,nd,5/28/19,6/17/19,NA,0.422,1.78,1,14,2,gcrew_5,elevated,0,salt,6,
cm10,139,corn,0,corn_modern,nd,6/19/19,6/26/19,6/17/19,0.735,2.24,3,14,3,gcrew_5,elevated,1,salt,6,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,6/19/19,6/26/19,NA,1.01,1.57,1,14,4,gcrew_5,elevated,0,salt,6,
cm3,C4AS-7,corn,0,corn_modern,utk,5/28/19,6/17/19,6/17/19,1.895,1.88,1,14,5,gcrew_5,elevated,1,salt,6,
b1,219,blackwater,2,blackwater,nd,6/9/19,6/17/19,NA,1.674,2.16,1,14,6,gcrew_5,elevated,0,salt,6,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,6/9/19,6/17/19,NA,2.941,2.13,1,14,7,gcrew_5,elevated,0,salt,6,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/28/19,6/17/19,6/17/19,2.191,1.72,1,14,8,gcrew_5,elevated,1,salt,6,
km3,KM1B1Q-1,kirkpatrick,0,kirk_modern,utk,5/28/19,6/12/19,NA,1.339,1.68,1,8,1,gcrew_6,ambient,0,salt,1,
cm10,139,corn,0,corn_modern,nd,5/28/19,6/12/19,NA,0.804,2.04,1,8,2,gcrew_6,ambient,0,salt,1,
cm1,C4AS-8,corn,0,corn_modern,utk,5/28/19,6/12/19,6/12/19,1.39,2.07,1,8,3,gcrew_6,ambient,1,salt,1,
b2,191,blackwater,10,blackwater,nd,5/28/19,6/12/19,NA,0.552,1.65,1,8,4,gcrew_6,ambient,0,salt,1,
cm4,C2AT-9,corn,0,corn_modern,utk,6/19/19,6/26/19,6/12/19,0.711,1.6,1,8,5,gcrew_6,ambient,1,salt,1,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,6/19/19,6/26/19,6/12/19,0.473,1.68,1,8,6,gcrew_6,ambient,1,salt,1,
ka5,156,kirkpatrick,20,kirk_ancestral,nd,6/19/19,6/26/19,NA,0.484,2.06,2,8,7,gcrew_6,ambient,0,salt,1,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,NA,1.205,2.28,2,8,8,gcrew_6,ambient,0,salt,1,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,6/12/19,1.76,1.53,1,8,1,gcrew_6,ambient,1,salt,2,
cm4,C2AT-9,corn,0,corn_modern,utk,5/28/19,6/12/19,NA,1.062,1.05,1,8,2,gcrew_6,ambient,0,salt,2,
ca10,138,corn,16.75,corn_ancestral,nd,5/28/19,6/12/19,NA,1.151,2.91,1,8,3,gcrew_6,ambient,0,salt,2,
ka5,156,kirkpatrick,20,kirk_ancestral,nd,5/28/19,6/12/19,NA,1.963,2.79,1,8,4,gcrew_6,ambient,0,salt,2,
km4,155,kirkpatrick,extant,kirk_modern,nd,6/9/19,6/12/19,NA,1.376,2.34,1,8,5,gcrew_6,ambient,0,salt,2,
cm3,C4AS-7,corn,0,corn_modern,utk,5/28/19,6/12/19,6/12/19,0.419,2.28,1,8,6,gcrew_6,ambient,1,salt,2,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,NA,0.369,1.17,1,8,7,gcrew_6,ambient,0,salt,2,
cm5,C4AS-2,corn,0,corn_modern,utk,5/28/19,6/12/19,6/12/19,0.51,1.22,1,8,8,gcrew_6,ambient,1,salt,2,
km1,KM1B1Q-3,kirkpatrick,0,kirk_modern,utk,6/9/19,6/12/19,NA,0.806,2.06,1,8,1,gcrew_6,ambient,0,salt,3,
cm7,C4AS-13,corn,0,corn_modern,utk,5/28/19,6/12/19,NA,0.482,0.83,1,8,2,gcrew_6,ambient,0,salt,3,
cm5,C4AS-2,corn,0,corn_modern,utk,5/28/19,6/12/19,6/12/19,0.743,1.26,1,8,3,gcrew_6,ambient,1,salt,3,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/28/19,6/12/19,6/12/19,1.859,2.09,1,8,4,gcrew_6,ambient,1,salt,3,
ca9,133,corn,14.25,corn_ancestral,nd,6/9/19,6/12/19,6/12/19,1.916,2.41,1,8,5,gcrew_6,ambient,1,salt,3,
cm4,C2AT-9,corn,0,corn_modern,utk,5/28/19,6/12/19,NA,0.753,1.78,1,8,6,gcrew_6,ambient,0,salt,3,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,NA,1.259,1.86,1,8,7,gcrew_6,ambient,0,salt,3,
ka4,153,kirkpatrick,20,kirk_ancestral,nd,5/28/19,6/12/19,NA,1.35,1.52,2,8,8,gcrew_6,ambient,0,salt,3,
cm3,C4AS-7,corn,0,corn_modern,utk,6/9/19,6/12/19,6/12/19,0.784,1.18,2,8,1,gcrew_6,ambient,1,salt,4,
cm6,C4AS-5,corn,0,corn_modern,utk,5/28/19,6/12/19,NA,1.057,1.17,1,8,2,gcrew_6,ambient,0,salt,4,
cm2,C4AS-4,corn,0,corn_modern,utk,5/28/19,6/12/19,6/12/19,1.299,1.67,1,8,3,gcrew_6,ambient,1,salt,4,
b4,217,blackwater,10,blackwater,nd,5/28/19,6/12/19,NA,0.5,2.99,1,8,4,gcrew_6,ambient,0,salt,4,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,6/9/19,6/12/19,6/12/19,1.723,1.81,1,8,5,gcrew_6,ambient,1,salt,4,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/28/19,6/12/19,NA,0.39,1.44,1,8,6,gcrew_6,ambient,0,salt,4,
km6,141,kirkpatrick,0,kirk_modern,nd,6/9/19,6/12/19,NA,1.362,1.95,1,8,7,gcrew_6,ambient,0,salt,4,
ca10,138,corn,16.75,corn_ancestral,nd,5/28/19,6/12/19,NA,1.152,3.49,1,8,8,gcrew_6,ambient,0,salt,4,
km2,KM1B1Q-5,kirkpatrick,0,kirk_modern,utk,5/28/19,6/17/19,NA,1.685,0.99,1,8,1,gcrew_6,ambient,0,salt,5,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/28/19,6/17/19,6/17/19,0.74,1.47,1,8,2,gcrew_6,ambient,1,salt,5,
cm6,C4AS-5,corn,0,corn_modern,utk,5/28/19,6/17/19,NA,1.09,1.42,2,8,3,gcrew_6,ambient,0,salt,5,
cm3,C4AS-7,corn,0,corn_modern,utk,5/28/19,6/17/19,NA,0.639,1.25,1,8,4,gcrew_6,ambient,0,salt,5,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/28/19,6/17/19,6/17/19,1.711,1.73,1,8,5,gcrew_6,ambient,1,salt,5,
cm5,C4AS-2,corn,0,corn_modern,utk,5/28/19,6/17/19,6/17/19,1.282,1.3,1,8,6,gcrew_6,ambient,1,salt,5,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,5/28/19,6/17/19,NA,2.333,1.93,2,8,1,gcrew_6,ambient,0,salt,6,
ca8,130,corn,15,corn_ancestral,nd,6/9/19,6/17/19,NA,0.574,2.13,3,8,2,gcrew_6,ambient,0,salt,6,
b3,235,blackwater,8,blackwater,nd,5/28/19,6/17/19,NA,0.289,1.38,1,8,3,gcrew_6,ambient,0,salt,6,
cm2,C4AS-4,corn,0,corn_modern,utk,5/28/19,6/17/19,6/26/19,0.329,1.51,1,8,4,gcrew_6,ambient,1,salt,6,
cm9,128,corn,0,corn_modern,nd,5/28/19,6/17/19,NA,0.885,3.16,1,8,5,gcrew_6,ambient,0,salt,6,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/28/19,6/17/19,NA,1.571,1.43,1,8,6,gcrew_6,ambient,0,salt,6,
km5,159,kirkpatrick,extant,kirk_modern,nd,5/28/19,6/17/19,NA,0.545,1.81,1,8,7,gcrew_6,ambient,0,salt,6,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,6/9/19,6/17/19,6/17/19,0.818,1.64,1,8,8,gcrew_6,ambient,1,salt,6,
ca10,138,corn,16.75,corn_ancestral,nd,5/27/19,6/12/19,NA,0.371,2.03,2,6,1,gcrew_7,ambient,0,salt,1,
cm3,C4AS-7,corn,0,corn_modern,utk,6/9/19,6/12/19,6/12/19,0.738,1.54,1,6,2,gcrew_7,ambient,1,salt,1,
cm4,C2AT-9,corn,0,corn_modern,utk,5/27/19,6/12/19,NA,0.239,1.09,1,6,3,gcrew_7,ambient,0,salt,1,
km1,KM1B1Q-3,kirkpatrick,0,kirk_modern,utk,5/27/19,6/12/19,NA,1.664,1.75,1,6,4,gcrew_7,ambient,0,salt,1,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/27/19,6/12/19,6/12/19,0.454,1.54,1,6,5,gcrew_7,ambient,1,salt,1,
b2,191,blackwater,10,blackwater,nd,6/19/19,6/26/19,NA,0.376,2.01,1,6,6,gcrew_7,ambient,0,salt,1,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,5/27/19,6/12/19,NA,1.624,1.25,1,6,7,gcrew_7,ambient,0,salt,1,
b1,219,blackwater,2,blackwater,nd,5/27/19,6/12/19,NA,0.478,1.64,2,6,8,gcrew_7,ambient,0,salt,1,
b3,235,blackwater,8,blackwater,nd,5/27/19,6/12/19,NA,0.546,1.79,1,6,1,gcrew_7,ambient,0,salt,2,
cm1,C4AS-8,corn,0,corn_modern,utk,5/27/19,6/12/19,NA,1.346,2.73,1,6,2,gcrew_7,ambient,0,salt,2,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/27/19,6/12/19,NA,0.647,2.55,2,6,3,gcrew_7,ambient,0,salt,2,
cm7,C4AS-13,corn,0,corn_modern,utk,5/27/19,6/12/19,NA,1.19,0.9,2,6,4,gcrew_7,ambient,0,salt,2,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/27/19,6/12/19,6/12/19,1.134,1.26,1,6,5,gcrew_7,ambient,1,salt,2,
km2,KM1B1Q-5,kirkpatrick,0,kirk_modern,utk,5/27/19,6/12/19,NA,0.348,1.46,1,6,6,gcrew_7,ambient,0,salt,2,
cm10,139,corn,0,corn_modern,nd,5/27/19,6/12/19,6/12/19,0.771,3.31,1,6,7,gcrew_7,ambient,1,salt,2,
ca9,133,corn,14.25,corn_ancestral,nd,6/9/19,6/12/19,6/12/19,1.914,2.71,1,6,8,gcrew_7,ambient,1,salt,2,
b4,217,blackwater,10,blackwater,nd,5/27/19,6/12/19,NA,0.689,2.62,1,6,1,gcrew_7,ambient,0,salt,3,
cm2,C4AS-4,corn,0,corn_modern,utk,5/27/19,6/12/19,6/12/19,0.299,1.15,1,6,2,gcrew_7,ambient,1,salt,3,
cm5,C4AS-2,corn,0,corn_modern,utk,6/9/19,6/12/19,NA,0.537,1.03,1,6,3,gcrew_7,ambient,0,salt,3,
km5,159,kirkpatrick,extant,kirk_modern,nd,5/27/19,6/12/19,NA,0.815,2.33,1,6,4,gcrew_7,ambient,0,salt,3,
cm9,128,corn,0,corn_modern,nd,5/27/19,6/12/19,6/12/19,1.027,4.26,1,6,5,gcrew_7,ambient,1,salt,3,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/27/19,6/12/19,NA,1,1.97,1,6,6,gcrew_7,ambient,0,salt,3,
ka2,146,kirkpatrick,14,kirk_ancestral,nd,6/9/19,6/12/19,NA,1.162,1.49,1,6,7,gcrew_7,ambient,0,salt,3,ND
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/27/19,6/12/19,6/12/19,0.556,0.92,1,6,8,gcrew_7,ambient,1,salt,3,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/27/19,6/12/19,NA,1.677,1.55,1,6,1,gcrew_7,ambient,0,salt,4,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,6/19/19,6/26/19,6/12/19,1.477,1.5,1,6,2,gcrew_7,ambient,1,salt,4,
cm5,C4AS-2,corn,0,corn_modern,utk,5/27/19,6/12/19,NA,0.654,1.14,1,6,3,gcrew_7,ambient,0,salt,4,
cm6,C4AS-5,corn,0,corn_modern,utk,5/27/19,6/12/19,6/12/19,0.423,1.26,1,6,4,gcrew_7,ambient,1,salt,4,
ca8,130,corn,15,corn_ancestral,nd,6/9/19,6/12/19,6/12/19,1.593,2.91,2,6,5,gcrew_7,ambient,1,salt,4,
km3,KM1B1Q-1,kirkpatrick,0,kirk_modern,utk,5/27/19,6/12/19,NA,2.314,2.83,1,6,6,gcrew_7,ambient,0,salt,4,
cm9,128,corn,0,corn_modern,nd,5/27/19,6/12/19,NA,0.772,2.91,1,6,7,gcrew_7,ambient,0,salt,4,
ka4,153,kirkpatrick,20,kirk_ancestral,nd,5/27/19,6/12/19,NA,0.3,1.48,1,6,8,gcrew_7,ambient,0,salt,4,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/26/19,NA,0.746,3.27,1,6,1,gcrew_7,ambient,0,salt,5,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,6/9/19,6/17/19,NA,2.44,1.76,2,6,2,gcrew_7,ambient,0,salt,5,
cm2,C4AS-4,corn,0,corn_modern,utk,5/27/19,6/17/19,6/17/19,0.76,1.61,2,6,3,gcrew_7,ambient,1,salt,5,
b2,191,blackwater,10,blackwater,nd,5/27/19,6/17/19,NA,1.054,4.17,1,6,4,gcrew_7,ambient,0,salt,5,
cm10,139,corn,0,corn_modern,nd,5/27/19,6/17/19,NA,1.296,1.44,1,6,5,gcrew_7,ambient,0,salt,5,
cm4,C2AT-9,corn,0,corn_modern,utk,6/9/19,6/17/19,6/17/19,1.691,1.5,1,6,6,gcrew_7,ambient,1,salt,5,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/27/19,6/17/19,6/17/19,1.401,2.25,1,6,7,gcrew_7,ambient,1,salt,5,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/27/19,6/17/19,NA,0.936,1.78,1,6,8,gcrew_7,ambient,0,salt,5,
cm8,127,corn,0,corn_modern,nd,5/27/19,6/17/19,6/17/19,1.281,3.6,1,6,1,gcrew_7,ambient,1,salt,6,
cm10,139,corn,0,corn_modern,nd,5/27/19,6/17/19,NA,0.569,1.08,2,6,2,gcrew_7,ambient,0,salt,6,
cm1,C4AS-8,corn,0,corn_modern,utk,5/27/19,6/17/19,NA,0.525,1.19,1,6,3,gcrew_7,ambient,0,salt,6,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/27/19,6/17/19,NA,0.91,1.68,1,6,4,gcrew_7,ambient,0,salt,6,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/26/19,6/26/19,0.881,2.35,1,6,5,gcrew_7,ambient,1,salt,6,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,5/27/19,6/17/19,6/17/19,1.744,1.23,1,6,6,gcrew_7,ambient,1,salt,6,
ka3,14-16D,kirkpatrick,14,kirk_ancestral,utk,5/27/19,6/17/19,NA,2.169,1.95,1,6,7,gcrew_7,ambient,0,salt,6,UTK
km5,159,kirkpatrick,extant,kirk_modern,nd,6/19/19,6/26/19,NA,0.751,2.05,2,6,8,gcrew_7,ambient,0,salt,6,