pot_no,site_frame,level,position,genotype,tot_ht,grn_ht,mid_wd,bas_wd,weight,notes
17,fresh_1,3,1,cm7,41,41,2.9,2.9,10.6,
19,fresh_1,3,3,ca6,74,74,3.8,4.4,10.9,
20,fresh_1,3,4,cm5,50.5,50.5,2.6,3.2,10.6,
26,fresh_1,4,2,ca4,47.5,47.5,,,11.04,forgot widths
30,fresh_1,4,6,cm4,44,43.5,2.7,3.5,10.53,
31,fresh_1,4,7,cm3,35,34.5,4,4.5,10.95,
67,fresh_2,3,3,ca8,37.5,37.5,1.5,3,10.66,in extra 4
70,fresh_2,3,6,ca2,27.5,27.5,3,4.1,10.36,
72,fresh_2,3,8,cm4,32.5,32.5,3.1,3.2,10.16,
73,fresh_2,4,1,ca7,26.5,26.5,4,6,10.72,
75,fresh_2,4,3,cm10,29,29,3.5,4,10.46,
80,fresh_2,4,8,cm2,35,35,4.2,5.2,10.67,
115,fresh_3,3,3,cm2,58,56,5.2,5.4,11.12,
116,fresh_3,3,4,cm9,45,45,,,10.99,forgot widths
120,fresh_3,3,8,ca4,36.5,36.5,4.2,5.2,10.68,
121,fresh_3,4,1,cm1,27.5,27.5,3.5,4.5,10.79,
124,fresh_3,4,4,ca10,33,33,4.5,5.2,10.79,
126,fresh_3,4,6,cm9,47,47,4.2,4.2,11.28,
164,fresh_4,3,4,cm1,42.5,42.5,4.8,5.1,11.18,put into 5
165,fresh_4,3,5,ca2,28.5,28.5,4.3,4.3,10.24,
170,fresh_4,4,2,ca1,35.5,35.5,4.1,5,10.63,
174,fresh_4,4,6,cm5,40,37,4.2,4.5,10.76,
176,fresh_4,4,8,ca5,59,59,4.7,4.9,10.95,
210,fresh_5,3,2,cm10,55,54.5,5,6.1,10.29,
214,fresh_5,3,6,ca7,40,40,3.1,3.3,10.8,
216,fresh_5,3,8,cm6,36,36,3.1,4,10.91,
221,fresh_5,4,5,ca3,37.5,37.5,4.4,4.8,10.52,
222,fresh_5,4,6,cm3,40.5,40.5,2.7,5.3,11.18,
260,fresh_6,3,4,cm5,46,46,2.1,3.1,10.35,
263,fresh_6,3,7,ca1,40,40,2.7,2.9,10.1,extra 6
269,fresh_6,4,5,cm4,36.5,36.5,4.3,4.5,10.77,in tube mislabeled 262
306,fresh_7,3,2,ca7,34.5,34.5,4.4,4.7,10.42,
307,fresh_7,3,3,cm10,46.5,46.5,2,3,10.46,
310,fresh_7,3,6,ca6,53,53,5.7,6.1,10.87,
313,fresh_7,4,1,cm6,30.5,30.5,3.5,3.8,11,
317,fresh_7,4,5,cm7,41,41,4.8,5.2,11.27,in tube 314
320,fresh_7,4,8,ca10,45.5,44.5,3.4,3.7,10.7,
354,gcrew_1,3,2,ca1,46.5,45.5,2.3,2.6,10.79,
357,gcrew_1,3,5,cm6,28.5,28,2.3,2.4,10.35,
358,gcrew_1,3,6,ca10,42,42,1.3,1.7,10.49,
367,gcrew_1,4,7,cm1,48,48,3.3,3.8,10.77,didn't all fit
368,gcrew_1,4,8,ca4,38,36,3.4,3.5,10.78,
401,gcrew_2,2,3,cm5,36,36,2.2,2.5,10.77,
407,gcrew_2,3,7,cm3,47,46.5,3.2,3.5,10.92,didn't all fit
408,gcrew_2,3,8,ca7,43.5,43.5,1.7,1.9,10.69,
410,gcrew_2,4,2,ca4,32,32,2.7,2.6,10.71,
415,gcrew_2,4,7,cm6,50,49.5,2.7,3.3,10.97,didn't all fit
1653,gcrew_3,3,5,ca5,46,45.5,3.2,4,10.77,
1654,gcrew_3,3,6,cm1,40,39.5,3.6,3.6,11.1,
1659,gcrew_3,4,3,cm3,44.5,44.5,1.9,2,10.99,tube mislabeled 1649
1661,gcrew_3,4,5,cm6,34.5,34.5,2.4,2.5,10.88,
1664,gcrew_3,4,8,ca2,53.5,53,4.2,4.5,10.71,twisted
1700,gcrew_4,3,4,ca4,31,31,2.5,2.8,10.19,tube mislabeled 413 and 10 minutes time in between cut and RNAse
1801,gcrew_4,3,5,ca10,60,60,3.6,3.9,10.73,
1802,gcrew_4,3,6,cm8,30,30,2.6,2.7,10.11,
1806,gcrew_4,4,2,ca3,74,72,5.4,5.6,10.98,
1811,gcrew_4,4,7,cm2,35,35,4.2,4.4,10.75,
1849,gcrew_5,3,5,cm4,34,34,2.8,3.1,10.48,
1851,gcrew_5,3,7,ca5,48,48,3.9,4.1,10.97,
1853,gcrew_5,4,1,cm1,25.5,25,4.7,5,10.42,
1860,gcrew_5,4,8,ca4,55,54.5,3.8,4.5,10.79,
1894,gcrew_6,3,2,cm7,47.5,46,3.7,4,10.77,
1898,gcrew_6,3,6,cm4,50,49.5,4.2,4.4,10.64,
1899,gcrew_6,3,7,ca6,29.5,29.5,4.1,4.3,10.67,
1932,gcrew_6,4,2,cm6,33,33,3,3.1,10.52,
1938,gcrew_6,4,8,ca10,52,52,4.8,4.9,10.77,
1971,gcrew_7,3,3,cm5,51.5,51,3.1,3.5,10.6,
1974,gcrew_7,3,6,ca7,41.5,41.5,4,4.8,10.59,
1977,gcrew_7,4,1,ca6,59,58,4.1,4.3,10.71,
1979,gcrew_7,4,3,cm5,47,47,3,3.6,10.52,
1983,gcrew_7,4,7,cm9,49.5,49.5,4.1,4.3,10.63,